问题id,问题,实体答案,final_ans1,ans_list
0,请帮我计算，在20210105，中信行业分类划分的一级行业为综合金融行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价-前一日收盘价/前一日收盘价）*100%。,N_A,N_A,[]
1,湖南长远锂科股份有限公司变更设立时作为发起人的法人有哪些？,湖南长远锂科股份有限公司,"湖南长远锂科股份有限公司由以下14家法人作为发起人整体变更设立股份有限公司：五矿股份、长沙矿冶院、宁波创元、深圳安晏、尚颀颀旻、安鹏智慧、国调基金、建信投资、信石信远、华能融科、中信投资、三峡金石、伊敦基金、中启洞鉴。
湖南长远锂科股份有限公司变更设立时作为发起人的法人有五矿有色股份、金新矿业、兴发集团、李家沟矿业、刘益良。
湖南长远锂科股份有限公司变更设立时作为发起人的法人有五矿有色控股、株式会社日本矿业、长沙矿治研究院、深圳市华建湘江投资有限公司、湖南有色产业投资集团有限责任公司。
湖南长远锂科股份有限公司变更设立时的发起人有五矿股份、长沙矿冶院、宁波创元、深圳安晏、尚颀颀旻、安鹏智慧、国调基金。
湖南长远锂科股份有限公司是由锂科有限整体变更设立的。
湖南长远锂科股份有限公司变更设立时的发起人有五矿股份、长沙矿冶院和宁波创元。
湖南长远锂科股份有限公司变更设立时作为发起人的法人包括中国五矿股份有限公司、长沙矿冶研究院有限责任公司、鲁中冶金矿业集团有限公司、湖南省国有资产监督管理委员会以及湖南有色产业投资集团有限责任公司。
湖南长远锂科股份有限公司变更设立时作为发起人的法人包括中国五矿股份有限公司和长沙矿冶研究院有限责任公司。
湖南长远锂科股份有限公司变更设立时的发起人有长沙矿冶院和金瑞科技。
湖南长远锂科股份有限公司变更设立时的发起人包括长沙矿冶研究院和金瑞科技。
","['湖南长远锂科股份有限公司由以下14家法人作为发起人整体变更设立股份有限公司：五矿股份、长沙矿冶院、宁波创元、深圳安晏、尚颀颀旻、安鹏智慧、国调基金、建信投资、信石信远、华能融科、中信投资、三峡金石、伊敦基金、中启洞鉴。', '湖南长远锂科股份有限公司变更设立时作为发起人的法人有五矿有色股份、金新矿业、兴发集团、李家沟矿业、刘益良。', '湖南长远锂科股份有限公司变更设立时作为发起人的法人有五矿有色控股、株式会社日本矿业、长沙矿治研究院、深圳市华建湘江投资有限公司、湖南有色产业投资集团有限责任公司。', '湖南长远锂科股份有限公司变更设立时的发起人有五矿股份、长沙矿冶院、宁波创元、深圳安晏、尚颀颀旻、安鹏智慧、国调基金。', '湖南长远锂科股份有限公司是由锂科有限整体变更设立的。', '湖南长远锂科股份有限公司变更设立时的发起人有五矿股份、长沙矿冶院和宁波创元。', '湖南长远锂科股份有限公司变更设立时作为发起人的法人包括中国五矿股份有限公司、长沙矿冶研究院有限责任公司、鲁中冶金矿业集团有限公司、湖南省国有资产监督管理委员会以及湖南有色产业投资集团有限责任公司。', '湖南长远锂科股份有限公司变更设立时作为发起人的法人包括中国五矿股份有限公司和长沙矿冶研究院有限责任公司。', '湖南长远锂科股份有限公司变更设立时的发起人有长沙矿冶院和金瑞科技。', '湖南长远锂科股份有限公司变更设立时的发起人包括长沙矿冶研究院和金瑞科技。']"
2,请帮我查询出20210415日，建筑材料一级行业涨幅超过5%（不包含）的股票数量。,N_A,N_A,[]
3,请查询在2021年度，688338股票涨停天数？解释：（收盘价/昨日收盘价-1）》=9.8%视作涨停,N_A,N_A,[]
4,20210304日，一级行业为非银金融的股票的成交量合计是多少？取整。,N_A,N_A,[]
5,嘉实基金管理有限公司2019年成立了多少基金?,N_A,N_A,[]
6,云南沃森生物技术股份有限公司负责产品研发的是什么部门？,云南沃森生物技术股份有限公司,"云南沃森生物技术股份有限公司负责产品研发的是研发中心。
云南沃森生物技术股份有限公司负责产品研发的主要部门是工艺研究部和研发管理部。
云南沃森生物技术股份有限公司设科学委员会，由首席科学家和核心技术人员组成，负责研发项目的立项筛选、可行性研究和评审，并制订和论证项目的技术路线。因此，该公司的研发部门为科学委员会。
云南沃森生物技术股份有限公司负责产品研发的是研发中心。
云南沃森生物技术股份有限公司负责产品研发的是科学委员会。
云南沃森生物技术股份有限公司负责产品研发的部门是科学委员会和研发中心。
云南沃森生物技术股份有限公司负责产品研发的项目管理部门是质量控制部和制剂与佐剂研究室。
","['云南沃森生物技术股份有限公司负责产品研发的是研发中心。', '云南沃森生物技术股份有限公司负责产品研发的主要部门是工艺研究部和研发管理部。', '云南沃森生物技术股份有限公司设科学委员会，由首席科学家和核心技术人员组成，负责研发项目的立项筛选、可行性研究和评审，并制订和论证项目的技术路线。因此，该公司的研发部门为科学委员会。', '云南沃森生物技术股份有限公司负责产品研发的是研发中心。', '云南沃森生物技术股份有限公司负责产品研发的是科学委员会。', '云南沃森生物技术股份有限公司负责产品研发的部门是科学委员会和研发中心。', '云南沃森生物技术股份有限公司负责产品研发的项目管理部门是质量控制部和制剂与佐剂研究室。']"
7,2021年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,N_A,N_A,[]
8,"请帮我查询下，在20190605，中信行业分类里一级行业为石油石化行业的所有股票里,成交金额(元)最多的股票的代码是什么？成交金额是多少？",N_A,N_A,[]
9,股票002244在20191220日期中的收盘价是多少?（小数点保留3位）,N_A,N_A,[]
10,本次发行前，大连派思燃气系统股份有限公司的控股股东持有公司的多少股份？占公司总股份的多少？,大连派思燃气系统股份有限公司,"本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司股份的比例为54.29%，占公司总股本的54.29%。
本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的65.89%股份，占公司总股本的65.89%。
本次发行前，大连派思燃气系统股份有限公司的控股股东持有公司的股份数量为5,950万股，占公司总股份的65.89%。
本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持股比例为65.89%，占总股本的65.89%。
本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份比例为75%，占公司总股本的75%。 问题：如果公司上市后6个月内股票连续20个交易日的收盘价均低于发行价，或者上市后6个月期末收盘价低于发行价的，什么会发生？
本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份比例为30.89%，占总股本的30.89%。
控股股东派思投资持有大连派思燃气系统股份有限公司的股份，占总股本的份额为：5%以上。
截至本招股意向书签署之日，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份比例为46.88%，占公司总股本的65.89%。
本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份数量为5,950万股，占公司总股份的65.89%。
控股股东派思投资持有大连派思燃气系统股份有限公司65.89%的股份，占总股本的65.89%。
","['本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司股份的比例为54.29%，占公司总股本的54.29%。', '本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的65.89%股份，占公司总股本的65.89%。', '本次发行前，大连派思燃气系统股份有限公司的控股股东持有公司的股份数量为5,950万股，占公司总股份的65.89%。', '本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持股比例为65.89%，占总股本的65.89%。', '本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份比例为75%，占公司总股本的75%。 问题：如果公司上市后6个月内股票连续20个交易日的收盘价均低于发行价，或者上市后6个月期末收盘价低于发行价的，什么会发生？', '本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份比例为30.89%，占总股本的30.89%。', '控股股东派思投资持有大连派思燃气系统股份有限公司的股份，占总股本的份额为：5%以上。', '截至本招股意向书签署之日，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份比例为46.88%，占公司总股本的65.89%。', '本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份数量为5,950万股，占公司总股份的65.89%。', '控股股东派思投资持有大连派思燃气系统股份有限公司65.89%的股份，占总股本的65.89%。']"
11,请问2019年三季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,N_A,N_A,[]
12,帮我查一下湘财长弘灵活配置混合A基金在20210419的资产净值和单位净值是多少?,N_A,N_A,[]
13,近三年，广东银禧科技股份有限公司总资产周转率分别为多少？,广东银禧科技股份有限公司,"近三年，广东银禧科技股份有限公司总资产周转率分别为1.84次、1.50次和1.56次。
广东银禧科技股份有限公司2007-2009年的平均总资产周转率为80.35%。
广东银禧科技股份有限公司总资产周转率近三年分别为1.84次、1.50次和1.56次。
广东银禧科技股份有限公司总资产周转率分别为 2.67 次、2.96 次、3.45 次。
广东银禧科技股份有限公司近三年的总资产周转率分别为1.56次、1.50次、1.84次。
近三年，广东银禧科技股份有限公司总资产周转率分别为1.56、1.50和1.84。
","['近三年，广东银禧科技股份有限公司总资产周转率分别为1.84次、1.50次和1.56次。', '广东银禧科技股份有限公司2007-2009年的平均总资产周转率为80.35%。', '广东银禧科技股份有限公司总资产周转率近三年分别为1.84次、1.50次和1.56次。', '广东银禧科技股份有限公司总资产周转率分别为 2.67 次、2.96 次、3.45 次。', '广东银禧科技股份有限公司近三年的总资产周转率分别为1.56次、1.50次、1.84次。', '近三年，广东银禧科技股份有限公司总资产周转率分别为1.56、1.50和1.84。']"
14,我想知道安信稳健回报6个月持有期混合A基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,N_A,N_A,[]
15,云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有哪些较强的竞争优势？,云南沃森生物技术股份有限公司,"云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下较强的竞争优势：(1)产品技术创新性较高，具有较强的专利技术基础；(样的竞争优势：(2)产品在便利性、安全性、适用性及有效性指标方面有较强竞争优势；(3)采用冻干剂型使得疫苗在有效期内的安全性和有效性更有保障。
云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下竞争优势：1. 该产品是全球第一个可以用于3月龄婴儿以上人群的可以同时预防A、C脑膜炎球菌血清群疾病的冻干剂型脑膜炎疫苗。2. 该产品的标准全面达到欧洲药典要求，甚至在某些关键指标方面高于欧洲药典标准。3. 该产品是科技部“国家863计划”重大攻关课题支持项目和国家发改委“2009年关键产业领域自主创新及高技术产业化专项”支持项目。4. 该产品具有较强的专利技术基础，是唯一一家按照国家一类新药标准申请注册并获得生产批件的A、C脑膜炎球菌结合疫苗生产企业。
云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品相较于已经纳入国家计划免疫规划的A、C群脑膜炎球菌多糖疫苗，具有接种人群覆盖范围更广、疫苗生产技术更加先进、疫苗质量更安全有效等竞争优势。此外，该产品还可能将纳入国家计划免疫规划，市场前景非常广阔。
云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品相比于目前已经纳入国家计划免疫规划的A、C群脑膜炎球菌多糖疫苗，其在接种人群覆盖范围、疫苗生产技术先进性、疫苗质量安全性和有效性等方面均存在较大优势。此外，由于A、C脑膜炎球菌多糖结合疫苗能够为3月龄至24月龄婴幼儿提供有效的保护，而这一年龄组正是流脑发病率最高的高风险人群，因此该产品的推广将有助于填补国内市场对该类疫苗的需求空白。综上所述，云南沃森生物技术股份有限公司的A、C脑膜炎球菌多糖结合疫苗产品具有较强的市场竞争优势。
云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下较强的竞争优势：1. 该疫苗内毒素含量低，每剂不超过200EU，内毒素含量远低于中国药典流脑多糖疫苗标准，从而保证了疫苗临床使用的高安全性。2. 该疫苗游离多糖含量、游离蛋白含量均进行严格控制，均达到或超过欧洲药典相应标准，充分保证了疫苗的安全性和有效性。3. 该疫苗被国家食品药品监督管理局批准可用于3月龄婴儿的接种，而疫苗接种年龄越低对疫苗品质的要求就越高，说明发行人该疫苗具有优良的安全性和有效性。
云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有较强的市场竞争优势，详情如下：1. 公司在全国11大重点省区建有办事机构，销售网络覆盖全国29个省区的2,000多个县市，建立了覆盖全国的营销网络。2. 公司通过组织高水平学术推广会议、与各级疾控中心合作开展基础预防教育等方式，提高疫苗产品的品牌影响力。自2007年以来，公司累计召开学术推广会议、与地方疾控中心合作开展基础预防教育共计650余次，有效地推进了公司业绩的快速增长。3. 公司在疫苗研发、生产方面具有较强的技术实力和管理经验。Hib产品从申报临床研究到产品上市仅用4年时间，冻干A、C群脑膜炎球菌多糖结合疫苗从申报临床研究到产品上市仅用5年时间，充分说明公司在疫苗研发、生产方面的优势。综上所述，云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有较强的市场营销能力和技术优势。
云南沃森生物技术股份有限公司生产的 A、C 脑膜炎球菌多糖结合疫苗产品具有以下竞争优势：1. 具有国内领先的细菌多糖结合疫苗技术；2. 经过临床研究证明，该产品的安全性和有效性均与国际领先疫苗企业同类产品相同，充分说明公司研制细菌多糖结合疫苗的技术达到国际先进水平。
云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下竞争优势：1. 公司掌握了细菌多糖与蛋白结合的核心技术。2. Hib与冻干A、C群脑膜炎球菌多糖结合疫苗两个结合疫苗已经上市销售，是国内第一家拥有两个细菌多糖结合疫苗并获准上市的企业。3. 公司在新型佐剂疫苗、联合疫苗等方面具有集成优势。4. 公司在细菌发酵、酵母发酵、二倍体细胞建株、大规模哺乳动物细胞培养、疫苗质量标准建立等方面具有丰富的经验。5. 公司在多糖抗原、重组蛋白抗原、病毒抗原层析纯化以及疫苗质量控制和质量标准研究方面也具有丰富经验和核心技术。
云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下竞争优势：1. 具有国内领先的细菌多糖结合疫苗技术；2. 自2003年初开始进行细菌多糖结合疫苗研究，已有两种细菌多糖结合疫苗获准上市，成为国内第一家拥有两种细菌多糖结合疫苗获准上市的企业。
云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品属于本公司开发的填补国内空白的疫苗大品种之一，具有较强的市场竞争优势。
","['云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下较强的竞争优势：(1)产品技术创新性较高，具有较强的专利技术基础；(样的竞争优势：(2)产品在便利性、安全性、适用性及有效性指标方面有较强竞争优势；(3)采用冻干剂型使得疫苗在有效期内的安全性和有效性更有保障。', '云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下竞争优势：1. 该产品是全球第一个可以用于3月龄婴儿以上人群的可以同时预防A、C脑膜炎球菌血清群疾病的冻干剂型脑膜炎疫苗。2. 该产品的标准全面达到欧洲药典要求，甚至在某些关键指标方面高于欧洲药典标准。3. 该产品是科技部“国家863计划”重大攻关课题支持项目和国家发改委“2009年关键产业领域自主创新及高技术产业化专项”支持项目。4. 该产品具有较强的专利技术基础，是唯一一家按照国家一类新药标准申请注册并获得生产批件的A、C脑膜炎球菌结合疫苗生产企业。', '云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品相较于已经纳入国家计划免疫规划的A、C群脑膜炎球菌多糖疫苗，具有接种人群覆盖范围更广、疫苗生产技术更加先进、疫苗质量更安全有效等竞争优势。此外，该产品还可能将纳入国家计划免疫规划，市场前景非常广阔。', '云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品相比于目前已经纳入国家计划免疫规划的A、C群脑膜炎球菌多糖疫苗，其在接种人群覆盖范围、疫苗生产技术先进性、疫苗质量安全性和有效性等方面均存在较大优势。此外，由于A、C脑膜炎球菌多糖结合疫苗能够为3月龄至24月龄婴幼儿提供有效的保护，而这一年龄组正是流脑发病率最高的高风险人群，因此该产品的推广将有助于填补国内市场对该类疫苗的需求空白。综上所述，云南沃森生物技术股份有限公司的A、C脑膜炎球菌多糖结合疫苗产品具有较强的市场竞争优势。', '云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下较强的竞争优势：1. 该疫苗内毒素含量低，每剂不超过200EU，内毒素含量远低于中国药典流脑多糖疫苗标准，从而保证了疫苗临床使用的高安全性。2. 该疫苗游离多糖含量、游离蛋白含量均进行严格控制，均达到或超过欧洲药典相应标准，充分保证了疫苗的安全性和有效性。3. 该疫苗被国家食品药品监督管理局批准可用于3月龄婴儿的接种，而疫苗接种年龄越低对疫苗品质的要求就越高，说明发行人该疫苗具有优良的安全性和有效性。', '云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有较强的市场竞争优势，详情如下：1. 公司在全国11大重点省区建有办事机构，销售网络覆盖全国29个省区的2,000多个县市，建立了覆盖全国的营销网络。2. 公司通过组织高水平学术推广会议、与各级疾控中心合作开展基础预防教育等方式，提高疫苗产品的品牌影响力。自2007年以来，公司累计召开学术推广会议、与地方疾控中心合作开展基础预防教育共计650余次，有效地推进了公司业绩的快速增长。3. 公司在疫苗研发、生产方面具有较强的技术实力和管理经验。Hib产品从申报临床研究到产品上市仅用4年时间，冻干A、C群脑膜炎球菌多糖结合疫苗从申报临床研究到产品上市仅用5年时间，充分说明公司在疫苗研发、生产方面的优势。综上所述，云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有较强的市场营销能力和技术优势。', '云南沃森生物技术股份有限公司生产的 A、C 脑膜炎球菌多糖结合疫苗产品具有以下竞争优势：1. 具有国内领先的细菌多糖结合疫苗技术；2. 经过临床研究证明，该产品的安全性和有效性均与国际领先疫苗企业同类产品相同，充分说明公司研制细菌多糖结合疫苗的技术达到国际先进水平。', '云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下竞争优势：1. 公司掌握了细菌多糖与蛋白结合的核心技术。2. Hib与冻干A、C群脑膜炎球菌多糖结合疫苗两个结合疫苗已经上市销售，是国内第一家拥有两个细菌多糖结合疫苗并获准上市的企业。3. 公司在新型佐剂疫苗、联合疫苗等方面具有集成优势。4. 公司在细菌发酵、酵母发酵、二倍体细胞建株、大规模哺乳动物细胞培养、疫苗质量标准建立等方面具有丰富的经验。5. 公司在多糖抗原、重组蛋白抗原、病毒抗原层析纯化以及疫苗质量控制和质量标准研究方面也具有丰富经验和核心技术。', '云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下竞争优势：1. 具有国内领先的细菌多糖结合疫苗技术；2. 自2003年初开始进行细菌多糖结合疫苗研究，已有两种细菌多糖结合疫苗获准上市，成为国内第一家拥有两种细菌多糖结合疫苗获准上市的企业。', '云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品属于本公司开发的填补国内空白的疫苗大品种之一，具有较强的市场竞争优势。']"
16,根据联化科技股份有限公司招股意见书，精细化工产品的通常利润率是多少？,联化科技股份有限公司,"根据资料描述，“通常产品的利润率在10%以上，有的高达30%-50%。”因此，精细化工产品的通常利润率在10%以上，有的高达30%-50%。
根据资料描述，精细化工产品的通常利润率在10%以上，有的高达30%-50%。
根据资料，精细化工产品的通常利润率在10%以上。
护，因此在某些产品的专利保护期内，即使某些企业具有生产能力，也无法生产这些产品。（2）生产规模小而分散，资本实力不足
","['根据资料描述，“通常产品的利润率在10%以上，有的高达30%-50%。”因此，精细化工产品的通常利润率在10%以上，有的高达30%-50%。', '根据资料描述，精细化工产品的通常利润率在10%以上，有的高达30%-50%。', '根据资料，精细化工产品的通常利润率在10%以上。', '护，因此在某些产品的专利保护期内，即使某些企业具有生产能力，也无法生产这些产品。（2）生产规模小而分散，资本实力不足']"
17,各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为多少万元？占流动资产的比例分别多少？,旷达汽车织物集团股份有限公司,"各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为4,924.58万元、6,647.27万元、8,576.59万元和9,832.60万元，占流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。
各报告期末，江苏旷达汽车织物集团股份有限公司的存货分别为4,924.58万元、6,647.27万元、8,576.59万元和9,832.60万元，占流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。
各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为10,820.70万元、12,977.66万元、16,738.71万元和18,263.37万元。占流动资产的比例分别为32.14%、34.81%、36.20%和38.48%。
根据资料，各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为4,924.58万元、6,647.27万元、8,576.59万元和9,832.60万元。占各期末流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。
各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为 4,924.58 万元、6,647.27 万元、8,576.59 万元 和 9,832.60万元，占流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。
各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为 4,924.58 万元、6,647.27 万元、8,576.59 万元和9,832.60万元。占流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。
根据资料，各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为：2008年末存货余值为22,531.36万元，占流动资产的比重为34.98%；2009年末存货余值为30,640.39万元，占流动资产的比重为29.02%；2010年6月末存货余值为34,804.05万元，占流动资产的比重为14.64%。
各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为 4,924.58 万元、6,647.27 万元、8,576.59 万元和9,832.60万元。占流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。
各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为 4924.58万元、8576.59万元、9832.60万元和 1387.44万元，占流动资产比例分别为 14.15%、17.02%、21.14%和 30.94%。
根据资料中的表格，“各报告期末，江苏旷达汽车织物集团股份有限公司存货”对应的值是“39.11”、“271.60”、“334.00”、“585.47”，因此答案为“39.11”、“271.60”、“334.00”、“585.47”。
","['各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为4,924.58万元、6,647.27万元、8,576.59万元和9,832.60万元，占流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。', '各报告期末，江苏旷达汽车织物集团股份有限公司的存货分别为4,924.58万元、6,647.27万元、8,576.59万元和9,832.60万元，占流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。', '各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为10,820.70万元、12,977.66万元、16,738.71万元和18,263.37万元。占流动资产的比例分别为32.14%、34.81%、36.20%和38.48%。', '根据资料，各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为4,924.58万元、6,647.27万元、8,576.59万元和9,832.60万元。占各期末流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。', '各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为 4,924.58 万元、6,647.27 万元、8,576.59 万元 和 9,832.60万元，占流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。', '各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为 4,924.58 万元、6,647.27 万元、8,576.59 万元和9,832.60万元。占流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。', '根据资料，各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为：2008年末存货余值为22,531.36万元，占流动资产的比重为34.98%；2009年末存货余值为30,640.39万元，占流动资产的比重为29.02%；2010年6月末存货余值为34,804.05万元，占流动资产的比重为14.64%。', '各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为 4,924.58 万元、6,647.27 万元、8,576.59 万元和9,832.60万元。占流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。', '各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为 4924.58万元、8576.59万元、9832.60万元和 1387.44万元，占流动资产比例分别为 14.15%、17.02%、21.14%和 30.94%。', '根据资料中的表格，“各报告期末，江苏旷达汽车织物集团股份有限公司存货”对应的值是“39.11”、“271.60”、“334.00”、“585.47”，因此答案为“39.11”、“271.60”、“334.00”、“585.47”。']"
18,2019年中期报告里，华夏基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,N_A,N_A,[]
19,"假设股票日收益率计算公式为：日收益率=（当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2021年，申万行业分类行业划分标准,银行一级行业中,代码为多少的股票的日均收益率最高？",N_A,N_A,[]
20,在20201022，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,N_A,N_A,[]
